person_id,name,name_cn,name_en
1349391,五十岚大介 Daisuke Igarashi,五十岚大介,Daisuke Igarashi
1347624,克里斯·摩根 Chris Morgan,克里斯·摩根,Chris Morgan
1028134,盖瑞·斯科特·汤普森 Gary Scott Thompson,盖瑞·斯科特·汤普森,Gary Scott Thompson
1350888,冯元良 Yuanliang Feng,冯元良,Yuanliang Feng
1350889,鲁妮凡 Nifan Lu,鲁妮凡,Nifan Lu
1340661,刘以鬯 Yi-chang Liu,刘以鬯,Yi-chang Liu
1352058,吕莳媛 Lu Shih-Yuan,吕莳媛,Lu Shih-Yuan
1284761,萨沙·杰瓦西  Sacha Gervasi,萨沙·杰瓦西, Sacha Gervasi
1022820,约翰·奥古斯特 John August,约翰·奥古斯特,John August
1464867,丹尼尔·华莱士 Daniel Wallace,丹尼尔·华莱士,Daniel Wallace
1274389,王朔 Shuo Wang,王朔,Shuo Wang
1353300,艾玛·多诺霍 Emma Donoghue,艾玛·多诺霍,Emma Donoghue
1339873,迈克尔·格林 Michael Green,迈克尔·格林,Michael Green
1032312,斯科特·弗兰克 Scott Frank,斯科特·弗兰克,Scott Frank
1095757,柊葵 Aoi Hîragi,柊葵,Aoi Hîragi
1365734,张耀升 Yao-sheng Chang,张耀升,Yao-sheng Chang
1319555,卡尔·隆德 Carl Lund,卡尔·隆德,Carl Lund
1320065,吉田秋生 Akimi Yoshida,吉田秋生,Akimi Yoshida
1274308,张家鲁 Chia-lu Chang,张家鲁,Chia-lu Chang
1319216,麦家 Jia Mai,麦家,Jia Mai
1328389,贾斯汀·扎克汉姆 Justin Zackham,贾斯汀·扎克汉姆,Justin Zackham
1033260,劳伦斯·奥邦 Lawrence Hauben,劳伦斯·奥邦,Lawrence Hauben
1050511,肯·凯西 Ken Kesey,肯·凯西,Ken Kesey
1042473,达尔·瓦瑟曼 Dale Wasserman,达尔·瓦瑟曼,Dale Wasserman
1037133,雷金纳德·罗斯 Reginald Rose,雷金纳德·罗斯,Reginald Rose
1327606,张冀 Ji Zhang,张冀,Ji Zhang
1415757,查尔斯·布兰特 Charles Brandt,查尔斯·布兰特,Charles Brandt
1344819,安东尼·麦卡滕 Anthony McCarten,安东尼·麦卡滕,Anthony McCarten
1319686,桥本裕志 Hiroshi Hashimoto,桥本裕志,Hiroshi Hashimoto
1357234,坪田信贵 Nobutaka Tsubota,坪田信贵,Nobutaka Tsubota
