person_id,movie_id,movie_role
1031904,1972698,director
1289888,1433990,director
1028510,1299288,director
1025246,2209575,director
1054417,6549903,director
1054419,1292260,director
1334124,26844922,director
1038472,26844922,director
1025287,1325958,director
1375690,26752088,author
1391650,26752088,author
1349765,26752088,author
1047973,1292052,author
1049547,1292052,author
1054524,3541415,author
1328441,26794435,author
1420109,26794435,author
1420053,26794435,author
1054439,1291561,author
1286985,25662329,author
1324037,25662329,author
1304069,25662329,author
1295326,25662329,author
1359015,25662329,author
1307788,25662329,author
1335174,25662329,author
1359881,30166972,author
1359882,30166972,author
1330070,30166972,author
1410272,30166972,author
1428135,30166972,author
1022652,26348103,author
1037345,26348103,author
1022571,1292722,author
1275104,1889243,author
1054524,1889243,author
1031876,1295644,author
1050517,27060077,author
1403831,27060077,author
1036662,27060077,author
1372455,26387939,author
1372456,26387939,author
1385160,26387939,author
1366907,26387939,author
1370425,20495023,author
1381324,20495023,author
1022678,20495023,author
1384450,20495023,author
1275557,1291546,author
1275229,1291546,author
1031903,3319755,author
1276019,3319755,author
1014692,3319755,author
1276666,3793023,author
1286677,3793023,author
1316464,3793023,author
1032430,3793023,author
1339145,3793023,author
1005177,26683290,author
1107737,1295038,author
1022772,1295038,author
1062919,27010768,author
1421042,27010768,author
1018008,1292064,author
1322175,25986180,author
1294247,4920389,author
1377815,4920389,author
1303079,4920389,author
1322146,1849031,author
1276125,26100958,author
1276126,26100958,author
1013888,26100958,author
1050183,26100958,author
1360715,26100958,author
1334998,3011091,author
1145836,3011091,author
1275745,30170448,author
1395542,30170448,author
1395543,30170448,author
1411931,30170448,author
1393709,30170448,author
1275244,3742360,author
1275245,3742360,author
1021999,3742360,author
1274911,3742360,author
1275961,3742360,author
1275962,3742360,author
1275963,3742360,author
1054439,1291560,author
1322804,26861685,author
1343155,26861685,author
1374637,26861685,author
1048021,30252495,author
1406534,30252495,author
1326752,27110296,author
1357083,27110296,author
1323799,26580232,author
1280488,1291549,author
1006748,1291549,author
1132096,1291549,author
1277959,1291549,author
1290313,1291549,author
1126158,1307914,author
1014716,1307914,author
1022803,2129039,author
1294383,2129039,author
1004746,2129039,author
1036390,27119724,author
1313129,27119724,author
1041392,27119724,author
1006536,27119724,author
1184563,27119724,author
1050183,24773958,author
1276125,24773958,author
1276126,24773958,author
1360715,24773958,author
1392690,24773958,author
1010936,1929463,author
1305980,1929463,author
1407571,30334073,author
1407572,30334073,author
1306786,30334073,author
1407573,30334073,author
1306344,30334073,author
1318819,30334073,author
1022571,1652587,author
1274246,1306249,author
1025526,1306249,author
1280434,1306249,author
1036450,2131459,author
1295326,2131459,author
1022803,2131459,author
1014716,26425063,author
1028142,1295124,author
1004913,1295124,author
1054439,1308807,author
1023422,1308807,author
1307023,11026735,author
1284753,11026735,author
1277721,11026735,author
1310636,11026735,author
1341048,11026735,author
1372997,11026735,author
1372998,11026735,author
1341049,11026735,author
1274351,27622447,author
1036605,30318116,author
1362256,25921812,author
1362257,25921812,author
1313062,3287562,author
1293777,3287562,author
1313063,3287562,author
1275104,1851857,author
1054524,1851857,author
1036537,1851857,author
1041392,1851857,author
1299569,1302425,author
1048026,1302425,author
1289664,1302425,author
1346322,1302425,author
1322425,1302425,author
1411350,1302425,author
1317274,5912992,author
1321370,5912992,author
