movie_id,title,douban_url,poster,导演,主演,类型,制片国家/地区,年份
26390631,总有一天 Der kommer en dag,https://movie.douban.com/subject/26390631/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2596147131.jpg,杰斯珀·W·尼尔森,拉斯·米克尔森/苏菲·格拉宝/哈拉尔德·凯泽·赫尔曼,剧情,丹麦,2016
26694988,比海更深 海よりもまだ深く,https://movie.douban.com/subject/26694988/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2454274023.jpg,是枝裕和,阿部宽/真木阳子/小林聪美,剧情/家庭,日本,2016
25895901,海街日记 海街diary,https://movie.douban.com/subject/25895901/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,是枝裕和,绫濑遥/长泽雅美/夏帆,剧情/家庭,日本,2015
10571509,如父如子 そして父になる,https://movie.douban.com/subject/10571509/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2154079590.jpg,是枝裕和,福山雅治/尾野真千子/真木阳子,剧情/家庭,日本,2013
25986180,釜山行 부산행,https://movie.douban.com/subject/25986180/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,延尚昊,孔刘/郑有美/马东锡,动作/惊悚/灾难,韩国,2016
26591654,地雷区 Under sandet,https://movie.douban.com/subject/26591654/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2273266824.jpg,马丁·赞里维特,罗兰·默勒/米克尔·福尔斯加德/路易斯·霍夫曼,剧情/历史/战争,丹麦/德国,2015
25954475,聚焦 Spotlight,https://movie.douban.com/subject/25954475/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg,汤姆·麦卡锡,马克·鲁弗洛/迈克尔·基顿/瑞秋·麦克亚当斯,剧情/传记,美国,2015
25917973,心迷宫,https://movie.douban.com/subject/25917973/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,忻钰坤,霍卫民/王笑天/罗芸,剧情/犯罪/悬疑,中国大陆,2014
25814707,小森林 冬春篇 リトル・フォレスト 冬・春,https://movie.douban.com/subject/25814707/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,森淳一,桥本爱/三浦贵大/松冈茉优,剧情,日本,2015
25814705,小森林 夏秋篇 リトル・フォレスト 夏・秋,https://movie.douban.com/subject/25814705/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,森淳一,桥本爱/三浦贵大/松冈茉优,剧情,日本,2014
